cod_mpio,homicidios_anual,tasa_homicidios_100k,indice_conflicto
05001,341.9,12.90,0.1612
05002,9.6,44.35,0.5544
05021,0.9,18.77,0.2346
05030,13.2,40.15,0.5018
05031,25.6,90.86,1.0000
05034,41.9,89.52,1.0000
05036,3.8,60.68,0.7585
05038,8.5,69.03,0.8629
05040,32.9,165.26,1.0000
05042,12.7,44.70,0.5588
05044,4.2,55.94,0.6993
05045,35.8,26.86,0.3358
05051,1.6,5.03,0.0629
05055,5.2,63.66,0.7957
05059,0.7,12.90,0.1613
05079,14.6,25.65,0.3207
05086,4.0,61.74,0.7717
05088,50.1,8.73,0.1092
05091,12.5,113.07,1.0000
05093,15.3,90.90,1.0000
05101,33.2,118.18,1.0000
05107,13.4,155.23,1.0000
05113,7.8,76.50,0.9562
05120,26.6,84.24,1.0000
05125,2.8,31.37,0.3921
05129,18.4,21.04,0.2630
05134,8.2,83.40,1.0000
05138,7.1,42.55,0.5318
05142,0.9,19.23,0.2404
05145,0.9,18.80,0.2351
05147,11.5,21.81,0.2727
05148,21.4,32.88,0.4110
05150,1.4,33.11,0.4139
05154,59.5,60.07,0.7509
05172,20.0,31.72,0.3965
05190,4.2,40.10,0.5012
05197,5.9,34.99,0.4374
05206,1.4,27.60,0.3449
05209,17.2,74.57,0.9321
05212,19.5,22.89,0.2861
05234,12.9,51.97,0.6497
05237,4.5,21.67,0.2708
05240,4.5,34.42,0.4303
05250,29.6,51.98,0.6498
05264,2.6,21.17,0.2646
05266,9.4,3.74,0.0468
05282,8.5,32.19,0.4024
05284,7.8,34.97,0.4371
05306,2.8,46.85,0.5856
05308,9.6,17.03,0.2129
05310,4.5,42.46,0.5308
05313,3.5,32.32,0.4040
05315,1.9,26.60,0.3325
05318,16.7,27.61,0.3452
05321,1.4,15.47,0.1934
05347,2.8,48.82,0.6102
05353,5.9,99.31,1.0000
05360,15.8,5.20,0.0650
05361,22.8,78.02,0.9753
05364,8.5,53.84,0.6730
05368,5.2,35.32,0.4415
05376,7.5,10.56,0.1320
05380,9.4,11.97,0.1497
05390,3.8,42.93,0.5366
05400,11.5,49.33,0.6166
05411,2.6,24.03,0.3003
05425,5.4,61.19,0.7649
05440,22.1,31.23,0.3904
05467,1.2,16.55,0.2069
05475,0.7,13.13,0.1641
05480,8.7,57.22,0.7153
05483,5.2,47.26,0.5908
05490,6.6,14.28,0.1785
05495,4.7,16.65,0.2081
05501,0.9,27.94,0.3493
05541,9.2,40.08,0.5010
05543,2.4,26.87,0.3358
05576,8.0,85.72,1.0000
05579,31.3,73.25,0.9156
05585,3.8,24.37,0.3046
05591,4.5,22.58,0.2822
05604,48.9,158.30,1.0000
