cod_dpto,departamento,ipm_2022
05,ANTIOQUIA,0.098
08,ATLÁNTICO,0.13699999999999998
11,BOGOTÁ D.C.,0.038
13,BOLÍVAR,0.22
15,BOYACÁ,0.129
17,CALDAS,0.107
18,CAQUETÁ,0.225
19,CAUCA,0.218
20,CESAR,0.2
23,CÓRDOBA,0.266
25,CUNDINAMARCA,0.09
27,CHOCÓ,0.369
41,HUILA,0.16
44,LA GUAJIRA,0.43200000000000005
47,MAGDALENA,0.244
50,META,0.11900000000000001
52,NARIÑO,0.21899999999999997
54,NORTE DE SANTANDER,0.183
63,QUINDÍO,0.095
66,RISARALDA,0.08900000000000001
68,SANTANDER,0.086
70,SUCRE,0.25
73,TOLIMA,0.147
76,VALLE DEL CAUCA,0.08199999999999999
81,ARAUCA,0.21
85,CASANARE,0.13
86,PUTUMAYO,0.24
88,SAN ANDRÉS,0.1
91,AMAZONAS,0.34
94,GUAINÍA,0.45
95,GUAVIARE,0.28
97,VAUPÉS,0.45
99,VICHADA,0.5
