cod_mpio,poblacion_5_16,cobertura_neta,cobertura_bruta,desercion
05001,376137,93.58,104.12,3.18
05002,3611,71.09,77.18,2.9
05004,499,56.11,61.92,0
05021,862,78.07,81.55,1.42
05030,5038,77.33,86.03,5.04
05031,5752,68.17,75.76,6.03
05034,7642,77.3,86.05,4.33
05036,1008,81.25,94.44,0.98
05038,2399,66.49,72.49,2.96
05040,4482,69.63,75.37,5.94
05042,4997,89.19,97.22,3.67
05044,1490,75.23,82.75,2.19
05045,28405,88.46,102.55,4.8
05051,7601,86.63,100.29,4.11
05055,1679,70.28,74.27,3.13
05059,787,47.65,54.13,3.64
05079,8483,77.63,86.62,4.42
05086,1346,81.58,89.3,3.88
05088,86733,89.08,99.01,3.92
05091,2136,57.96,61.84,2.21
05093,3432,76.63,84,2.72
05101,4894,73.42,83.84,7.45
05107,1970,61.07,75.43,2.8
05113,2072,80.07,85.18,8.01
05120,8024,80.33,94.73,5.8
05125,1816,76.76,86.12,1.86
05129,11431,92.95,99.86,4.97
05134,2218,63.71,72.05,3.74
05138,3141,79.59,87.42,2.98
05142,761,82.39,91.72,3.27
05145,755,78.94,82.65,2.24
05147,12265,87.32,99.07,3.07
05148,11117,92.85,97.71,3.55
05150,568,84.33,88.03,2.4
05154,22189,87.32,96.3,3.96
05172,14733,86.78,93.96,5.48
05190,1697,79.02,86.09,2.35
05197,3057,99.8,105.63,3.28
05206,833,77.43,81.75,1.76
05209,4087,58.53,64.91,3.9
05212,11583,101.11,109.59,3.81
05234,6160,80.71,91.4,5.84
05237,3697,92.78,100.76,6.31
05240,1926,69.89,76.53,3.2
05250,14464,87.51,99.16,4.61
05264,2243,81.45,88.45,1.48
05266,27144,98.45,106.47,3.93
05282,3822,58.66,65.93,1.89
05284,4858,87.53,100.86,3.37
05306,1203,99.33,111.64,3.99
05308,8142,90.97,99.36,4.38
05310,1703,63.24,67.76,4.96
05313,2186,79.51,83.81,2.99
05315,1312,69.59,79.12,2.03
05318,8563,86.13,96.39,3.99
05321,1401,108.78,117.34,4.28
05347,849,78.56,90.46,4.93
05353,971,73.53,87.33,4.11
05360,39509,88.26,97.1,4.58
05361,5223,64.18,72.51,3.85
05364,2452,83.36,93.52,3.67
05368,2121,70.91,79.16,2.37
05376,10780,88.85,100.45,2.71
05380,10633,122.55,130.62,2.8
05390,1545,79.68,88.41,3.66
05400,4060,96.26,100.22,4.27
05411,1922,70.4,77.94,1.06
05425,1678,96.07,102.74,3.05
05440,11980,99.17,107.35,3.86
05467,1118,75.22,79.7,3.37
05475,1639,73.89,87.25,1.19
05480,3878,96.85,111.42,7.37
05483,2176,61.76,65.58,5.19
05490,11725,105.67,120.47,5.23
05495,7179,85.93,100.35,6.44
05501,581,76.42,82.96,2.49
05541,3743,99.17,107.96,2.58
05543,1899,70.19,77.99,1.74
05576,1682,65.7,72.06,3.16
05579,7740,72.47,83.09,2.85
05585,2796,67.7,81.72,3.37
05591,3562,97.95,106.12,2.57
05604,6860,112.33,122.78,6.53
05607,3551,120.84,132.33,3.41
05615,20765,106.36,116.74,4.1
05628,2046,74.39,80.84,0.64
05631,10121,107.76,113.93,3.53
05642,3446,66.08,74.99,4.21
05647,1658,70.08,76.12,3.9
05649,3199,85.71,94.34,2.92
05652,1302,78.65,86.1,7.46
05656,2806,85.07,94.98,7.41
05658,845,57.16,59.76,0.99
05659,5639,93.69,106.81,2.03
05660,2967,92.05,98.15,3.37
05664,4232,112.17,121.55,3.39
05665,7868,88.5,97.23,3.19
05667,2886,77.3,83.85,2.95
05670,4298,80.01,87.88,3.31
05674,3997,78.66,83.64,2.84
