cod_dpto,pib_pc_cop,ratio
05,33034302,1.1234
08,24553189,0.8350
11,49552538,1.6851
13,24719614,0.8406
15,31295647,1.0643
17,24573535,0.8357
18,14262026,0.4850
19,17639572,0.5999
20,22950714,0.7805
23,14284665,0.4858
25,26444004,0.8993
27,10891561,0.3704
41,21655956,0.7365
44,17996589,0.6120
47,14126501,0.4804
50,45747868,1.5557
52,13502268,0.4592
54,14488167,0.4927
63,23052487,0.7839
66,26870495,0.9138
68,41998817,1.4283
70,12241336,0.4163
73,23998645,0.8161
76,32759888,1.1141
81,26535259,0.9024
85,46126720,1.5686
86,14525572,0.4940
88,36306148,1.2347
91,13444639,0.4572
94,9196105,0.3127
95,11824005,0.4021
97,8351814,0.2840
99,8191239,0.2786
