cod_mpio,poblacion_total,poblacion_cabecera,poblacion_rural,pct_urbano
05001,2650662,2609841,40821,98.46
05002,21751,9499,12252,43.67
05004,2903,1041,1862,35.86
05021,5015,2995,2020,59.72
05030,32821,17358,15463,52.89
05031,28227,17276,10951,61.2
05034,46783,24651,22132,52.69
05036,6204,2761,3443,44.5
05038,12271,3484,8787,28.39
05040,19933,9575,10358,48.04
05042,28422,19364,9058,68.13
05044,7571,1819,5752,24.03
05045,133140,113793,19347,85.47
05051,32722,12831,19891,39.21
05055,8132,4161,3971,51.17
05059,5471,2177,3294,39.79
05079,56866,27547,29319,48.44
05086,6479,2132,4347,32.91
05088,573769,559020,14749,97.43
05091,11029,4496,6533,40.77
05093,16826,5660,11166,33.64
05101,28074,18291,9783,65.15
05107,8640,3371,5269,39.02
05113,10150,3034,7116,29.89
05120,31563,7758,23805,24.58
05125,9002,2359,6643,26.21
05129,87216,72014,15202,82.57
05134,9874,3353,6521,33.96
05138,16591,6445,10146,38.85
05142,4894,3185,1709,65.08
05145,5005,2585,2420,51.65
05147,52854,39685,13169,75.08
05148,65125,40947,24178,62.87
05150,4264,3349,915,78.54
05154,99102,88966,10136,89.77
05172,63048,54218,8830,85.99
05190,10562,9424,1138,89.23
05197,16811,8324,8487,49.52
05206,5116,2427,2689,47.44
05209,23034,9259,13775,40.2
05212,85324,71263,14061,83.52
05234,24900,11082,13818,44.51
05237,20634,14215,6419,68.89
05240,12988,3209,9779,24.71
05250,57032,38778,18254,67.99
05264,12225,6879,5346,56.27
05266,251521,243980,7541,97.0
05282,26312,10112,16200,38.43
05284,22204,10669,11535,48.05
05306,6027,2609,3418,43.29
05308,56651,34267,22384,60.49
05310,10528,6057,4471,57.53
05313,10921,6445,4476,59.01
05315,7077,2853,4224,40.31
05318,60502,23539,36963,38.91
05321,9124,6322,2802,69.29
05347,5784,2848,2936,49.24
05353,5923,4033,1890,68.09
05360,303251,280103,23148,92.37
05361,29252,9395,19857,32.12
05364,15734,9146,6588,58.13
05368,14656,9006,5650,61.45
05376,71319,63106,8213,88.48
05380,78613,69237,9376,88.07
05390,8769,7974,795,90.93
05400,23373,15237,8136,65.19
05411,10772,3082,7690,28.61
05425,8844,3858,4986,43.62
05440,70819,52156,18663,73.65
05467,7107,2487,4620,34.99
05475,5377,2171,3206,40.38
05480,15214,6553,8661,43.07
05483,10953,4068,6885,37.14
05490,46126,14849,31277,32.19
05495,28268,15967,12301,56.48
05501,3368,446,2922,13.24
05541,22894,13327,9567,58.21
05543,8758,3088,5670,35.26
05576,9333,5343,3990,57.25
05579,42724,37327,5397,87.37
05585,15451,5862,9589,37.94
05591,19803,4406,15397,22.25
05604,30916,14601,16315,47.23
05607,25743,15081,10662,58.58
05615,148832,98667,50165,66.29
05628,9774,3835,5939,39.24
05631,90793,80915,9878,89.12
05642,19553,8492,11061,43.43
05647,7760,3584,4176,46.19
05649,17206,8676,8530,50.42
05652,6077,3025,3052,49.78
05656,16711,8267,8444,49.47
05658,3952,2680,1272,67.81
05659,21985,8566,13419,38.96
05660,13988,8924,5064,63.8
05664,23885,14430,9455,60.41
05665,33603,15953,17650,47.47
05667,16850,9308,7542,55.24
05670,23263,8618,14645,37.05
05674,23854,7603,16251,31.87
05679,28219,14493,13726,51.36
05686,39580,24005,15575,60.65
05690,13245,3761,9484,28.4
05697,38634,28947,9687,74.93
05736,41452,34778,6674,83.9
05756,39037,20573,18464,52.7
05761,16294,7959,8335,48.85
05789,17398,8872,8526,50.99
05790,29477,15546,13931,52.74
05792,6628,3970,2658,59.9
05809,11523,5797,5726,50.31
05819,5330,2147,3183,40.28
05837,136324,61219,75105,44.91
05842,7353,2721,4632,37.01
05847,32582,19079,13503,58.56
05854,14896,4912,9984,32.98
05856,7016,4347,2669,61.96
05858,12737,9388,3349,73.71
05861,12463,6233,6230,50.01
05873,9889,3941,5948,39.85
05885,8208,4320,3888,52.63
05887,45033,33648,11385,74.72
05890,24332,8604,15728,35.36
05893,20994,11796,9198,56.19
05895,26551,13582,12969,51.15
08001,1349138,1348516,622,99.95
08078,70565,58812,11753,83.34
08137,25341,21904,3437,86.44
08141,17919,12927,4992,72.14
08296,69387,64442,4945,92.87
08372,23836,15096,8740,63.33
08421,31539,16198,15341,51.36
08433,145622,135939,9683,93.35
08436,22129,19459,2670,87.93
08520,32733,31431,1302,96.02
08549,7395,3217,4178,43.5
08558,20423,17035,3388,83.41
08560,27020,15609,11411,57.77
08573,56118,49196,6922,87.67
08606,29325,19850,9475,67.69
08634,36730,35031,1699,95.37
08638,105538,79253,26285,75.09
08675,18125,15548,2577,85.78
08685,33731,31879,1852,94.51
08758,689898,689001,897,99.87
08770,13342,12492,850,93.63
08832,19450,9888,9562,50.84
08849,13835,12912,923,93.33
11001,7935754,7902685,33069,99.58
13001,1071065,944684,126381,88.2
13006,27731,5459,22272,19.69
13030,12353,4082,8271,33.04
13042,8103,4736,3367,58.45
13052,76847,59171,17676,77.0
13062,8911,4839,4072,54.3
13074,16517,6029,10488,36.5
13140,25158,13797,11361,54.84
13160,9186,4857,4329,52.87
13188,14911,9344,5567,62.67
13212,17809,3643,14166,20.46
13222,16467,13590,2877,82.53
13244,77507,55155,22352,71.16
13248,9610,4931,4679,51.31
13268,8250,2848,5402,34.52
13300,13436,3000,10436,22.33
13430,148003,99124,48879,66.97
13433,30743,10139,20604,32.98
13440,11974,1578,10396,13.18
13442,51561,21307,30254,41.32
13458,18611,3887,14724,20.89
13468,49407,23774,25633,48.12
13473,25171,7478,17693,29.71
13490,10991,2371,8620,21.57
13549,27027,3342,23685,12.37
13580,7681,4676,3005,60.88
13600,11687,5477,6210,46.86
13620,8849,6672,2177,75.4
13647,20214,13142,7072,65.01
13650,14031,1938,12093,13.81
13654,26217,22344,3873,85.23
13655,11245,2533,8712,22.53
13657,40848,29595,11253,72.45
13667,16286,7585,8701,46.57
13670,30104,23796,6308,79.05
13673,16237,5915,10322,36.43
13683,23166,20817,2349,89.86
13688,36514,21415,15099,58.65
13744,20322,6127,14195,30.15
13760,11750,11545,205,98.26
13780,14144,6397,7747,45.23
13810,19866,6237,13629,31.4
13836,116810,106219,10591,90.93
13838,18114,13263,4851,73.22
13873,26261,22425,3836,85.39
