anio,metrica,media,sd,p5,p95
2026,edad_media,30.27094,0.01911,30.23780,30.29940
2026,desempleo,0.11942,0.05607,0.04411,0.22356
2026,informalidad,0.54892,0.00318,0.54188,0.55311
2026,gini_ingreso,0.55501,0.01002,0.53697,0.57825
2026,pobreza,0.32451,0.02163,0.29327,0.37169
2026,pobreza_extrema,0.08701,0.00095,0.08544,0.08891
2026,tasa_desercion,0.24996,0.00095,0.24774,0.25174
2026,prev_enfermedad,0.00000,0.00000,0.00000,0.00000
2026,tasa_delincuencia,0.00000,0.00000,0.00000,0.00000
2026,cobertura_educativa,0.75004,0.00095,0.74826,0.75226
2026,pib_index,1.00000,0.00000,1.00000,1.00000
2026,crecimiento,0.00000,0.00000,0.00000,0.00000
2026,tasa_migracion,0.00000,0.00000,0.00000,0.00000
2026,satisfaccion_media,6.50016,0.00134,6.49685,6.50309
2026,polarizacion,57.30067,0.02151,57.26900,57.33920
2027,edad_media,30.81014,0.01923,30.77630,30.83870
2027,desempleo,0.12388,0.05759,0.04533,0.22816
2027,informalidad,0.54856,0.00305,0.54181,0.55279
2027,gini_ingreso,0.56214,0.01040,0.54383,0.58655
2027,pobreza,0.32535,0.02155,0.29448,0.37156
2027,pobreza_extrema,0.09356,0.00111,0.09161,0.09541
2027,tasa_desercion,0.34351,0.00432,0.33707,0.34975
2027,prev_enfermedad,0.04956,0.00547,0.04127,0.05792
2027,tasa_delincuencia,0.01645,0.00209,0.01309,0.02034
2027,cobertura_educativa,0.65649,0.00432,0.65025,0.66293
2027,pib_index,1.01980,0.00295,1.01519,1.02586
2027,crecimiento,0.02076,0.00375,0.01457,0.02816
2027,tasa_migracion,0.02717,0.00033,0.02672,0.02786
2027,satisfaccion_media,4.99759,0.05943,4.87411,5.07486
2027,polarizacion,42.43081,0.06124,42.35150,42.58510
2028,edad_media,31.32623,0.02015,31.29570,31.35820
2028,desempleo,0.12743,0.05863,0.04589,0.23128
2028,informalidad,0.54892,0.00280,0.54388,0.55321
2028,gini_ingreso,0.56864,0.01009,0.55057,0.59188
2028,pobreza,0.32707,0.02130,0.29642,0.37115
2028,pobreza_extrema,0.09915,0.00112,0.09730,0.10083
2028,tasa_desercion,0.35913,0.00829,0.34612,0.37007
2028,prev_enfermedad,0.04928,0.00544,0.04119,0.05764
2028,tasa_delincuencia,0.02905,0.00359,0.02311,0.03515
2028,cobertura_educativa,0.64087,0.00829,0.62993,0.65388
2028,pib_index,1.03618,0.00465,1.02752,1.04359
2028,crecimiento,0.01626,0.00327,0.00986,0.02129
2028,tasa_migracion,0.02701,0.00030,0.02660,0.02754
2028,satisfaccion_media,4.26384,0.10463,4.10939,4.42154
2028,polarizacion,32.26894,0.10117,32.13950,32.50200
2029,edad_media,31.82292,0.02087,31.78770,31.85740
2029,desempleo,0.13204,0.05961,0.04835,0.23692
2029,informalidad,0.54846,0.00282,0.54218,0.55321
2029,gini_ingreso,0.57453,0.01032,0.55528,0.59782
2029,pobreza,0.32848,0.02101,0.29808,0.37157
2029,pobreza_extrema,0.10365,0.00122,0.10159,0.10585
2029,tasa_desercion,0.37216,0.01156,0.35334,0.38764
2029,prev_enfermedad,0.04902,0.00545,0.04063,0.05726
2029,tasa_delincuencia,0.03891,0.00477,0.03068,0.04637
2029,cobertura_educativa,0.62784,0.01156,0.61236,0.64667
2029,pib_index,1.05312,0.00526,1.04579,1.06304
2029,crecimiento,0.01657,0.00244,0.01034,0.02044
2029,tasa_migracion,0.02685,0.00029,0.02647,0.02737
2029,satisfaccion_media,3.87266,0.11654,3.67940,4.07250
2029,polarizacion,25.40175,0.12354,25.24420,25.67650
2030,edad_media,32.29619,0.02220,32.25500,32.33520
2030,desempleo,0.13705,0.06050,0.05195,0.24172
2030,informalidad,0.54750,0.00364,0.54038,0.55362
2030,gini_ingreso,0.57990,0.01038,0.56068,0.60328
2030,pobreza,0.32913,0.02082,0.29809,0.37061
2030,pobreza_extrema,0.10724,0.00131,0.10501,0.10950
2030,tasa_desercion,0.38513,0.01388,0.36238,0.40403
2030,prev_enfermedad,0.04855,0.00537,0.04055,0.05674
2030,tasa_delincuencia,0.04653,0.00567,0.03643,0.05479
2030,cobertura_educativa,0.61487,0.01388,0.59598,0.63762
2030,pib_index,1.07087,0.00668,1.06225,1.08433
2030,crecimiento,0.01730,0.00268,0.01385,0.02152
2030,tasa_migracion,0.02667,0.00029,0.02621,0.02716
2030,satisfaccion_media,3.70301,0.12171,3.49418,3.92452
2030,polarizacion,20.82736,0.13291,20.65370,21.11450
