anio,metrica,media,sd,p5,p95
2026,edad_media,30.27094,0.01911,30.23780,30.29940
2026,desempleo,0.06772,0.03323,0.03123,0.14704
2026,informalidad,0.55091,0.00286,0.54497,0.55518
2026,gini_ingreso,0.54616,0.01491,0.52534,0.57325
2026,pobreza,0.24773,0.01098,0.22701,0.27104
2026,pobreza_extrema,0.01974,0.02928,0.00000,0.06354
2026,tasa_desercion,0.24996,0.00095,0.24774,0.25174
2026,prev_enfermedad,0.00000,0.00000,0.00000,0.00000
2026,tasa_delincuencia,0.00000,0.00000,0.00000,0.00000
2026,cobertura_educativa,0.75004,0.00095,0.74826,0.75226
2026,pib_index,1.00000,0.00000,1.00000,1.00000
2026,crecimiento,0.00000,0.00000,0.00000,0.00000
2026,tasa_migracion,0.00000,0.00000,0.00000,0.00000
2026,satisfaccion_media,6.50016,0.00134,6.49685,6.50309
2026,polarizacion,57.30067,0.02151,57.26900,57.33920
2027,edad_media,30.81021,0.01963,30.77830,30.84190
2027,desempleo,0.06817,0.03343,0.03089,0.14879
2027,informalidad,0.55082,0.00274,0.54535,0.55398
2027,gini_ingreso,0.55325,0.01455,0.53228,0.58039
2027,pobreza,0.25114,0.01077,0.23049,0.27439
2027,pobreza_extrema,0.02193,0.03253,0.00000,0.07054
2027,tasa_desercion,0.33137,0.00367,0.32474,0.33670
2027,prev_enfermedad,0.04298,0.00490,0.03477,0.04980
2027,tasa_delincuencia,0.01539,0.00145,0.01307,0.01725
2027,cobertura_educativa,0.66863,0.00367,0.66330,0.67526
2027,pib_index,1.01830,0.00212,1.01355,1.02304
2027,crecimiento,0.01922,0.00265,0.01344,0.02511
2027,tasa_migracion,0.02691,0.00018,0.02664,0.02731
2027,satisfaccion_media,5.16025,0.02840,5.09065,5.21096
2027,polarizacion,42.26948,0.03261,42.21320,42.32730
2028,edad_media,31.32608,0.01980,31.29640,31.36400
2028,desempleo,0.06904,0.03393,0.03090,0.15266
2028,informalidad,0.55162,0.00277,0.54533,0.55497
2028,gini_ingreso,0.56016,0.01459,0.53993,0.58720
2028,pobreza,0.25502,0.01086,0.23433,0.27888
2028,pobreza_extrema,0.02388,0.03542,0.00000,0.07696
2028,tasa_desercion,0.33685,0.00629,0.32894,0.34605
2028,prev_enfermedad,0.04277,0.00488,0.03484,0.04972
2028,tasa_delincuencia,0.02559,0.00222,0.02162,0.02870
2028,cobertura_educativa,0.66315,0.00629,0.65395,0.67105
2028,pib_index,1.03411,0.00285,1.02957,1.04015
2028,crecimiento,0.01586,0.00299,0.01003,0.02124
2028,tasa_migracion,0.02677,0.00020,0.02646,0.02714
2028,satisfaccion_media,4.49150,0.05710,4.35842,4.59308
2028,polarizacion,32.01026,0.04950,31.93480,32.12300
2029,edad_media,31.82344,0.02139,31.79080,31.87100
2029,desempleo,0.07037,0.03424,0.03190,0.15478
2029,informalidad,0.55110,0.00282,0.54585,0.55445
2029,gini_ingreso,0.56614,0.01498,0.54488,0.59343
2029,pobreza,0.25809,0.01068,0.23746,0.28148
2029,pobreza_extrema,0.02550,0.03782,0.00000,0.08200
2029,tasa_desercion,0.34177,0.00861,0.32960,0.35349
2029,prev_enfermedad,0.04252,0.00484,0.03444,0.04924
2029,tasa_delincuencia,0.03261,0.00279,0.02725,0.03662
2029,cobertura_educativa,0.65823,0.00861,0.64651,0.67040
2029,pib_index,1.05026,0.00274,1.04519,1.05624
2029,crecimiento,0.01597,0.00172,0.01263,0.01894
2029,tasa_migracion,0.02658,0.00021,0.02623,0.02698
2029,satisfaccion_media,4.14960,0.05408,4.00780,4.22878
2029,polarizacion,25.09216,0.05950,24.99910,25.23680
2030,edad_media,32.29928,0.02223,32.26320,32.35200
2030,desempleo,0.07265,0.03456,0.03326,0.15750
2030,informalidad,0.55078,0.00281,0.54514,0.55428
2030,gini_ingreso,0.57180,0.01477,0.55113,0.59859
2030,pobreza,0.26065,0.01065,0.23997,0.28335
2030,pobreza_extrema,0.02686,0.03984,0.00000,0.08634
2030,tasa_desercion,0.34854,0.01055,0.33391,0.36388
2030,prev_enfermedad,0.04214,0.00483,0.03424,0.04905
2030,tasa_delincuencia,0.03723,0.00320,0.03080,0.04247
2030,cobertura_educativa,0.65146,0.01055,0.63612,0.66609
2030,pib_index,1.06802,0.00258,1.06409,1.07205
2030,crecimiento,0.01772,0.00241,0.01528,0.02375
2030,tasa_migracion,0.02641,0.00024,0.02600,0.02688
2030,satisfaccion_media,3.99756,0.05439,3.85728,4.08180
2030,polarizacion,20.50669,0.06235,20.40130,20.66050
