anio,metrica,media,sd,p5,p95
2026,edad_media,30.27094,0.01911,30.23780,30.29940
2026,desempleo,0.06017,0.03501,0.01658,0.11007
2026,informalidad,0.55155,0.00267,0.54720,0.55588
2026,gini_ingreso,0.55568,0.01194,0.52915,0.57815
2026,pobreza,0.31854,0.01531,0.29611,0.34770
2026,pobreza_extrema,0.09030,0.00203,0.08810,0.09445
2026,tasa_desercion,0.24996,0.00095,0.24774,0.25174
2026,prev_enfermedad,0.00000,0.00000,0.00000,0.00000
2026,tasa_delincuencia,0.00000,0.00000,0.00000,0.00000
2026,cobertura_educativa,0.75004,0.00095,0.74826,0.75226
2026,pib_index,1.00000,0.00000,1.00000,1.00000
2026,crecimiento,0.00000,0.00000,0.00000,0.00000
2026,tasa_migracion,0.00000,0.00000,0.00000,0.00000
2026,satisfaccion_media,6.50016,0.00134,6.49685,6.50309
2026,polarizacion,57.30067,0.02151,57.26900,57.33920
2027,edad_media,30.81021,0.01954,30.77970,30.83950
2027,desempleo,0.06268,0.03666,0.01773,0.11584
2027,informalidad,0.55179,0.00253,0.54748,0.55527
2027,gini_ingreso,0.56257,0.01194,0.53645,0.58584
2027,pobreza,0.31928,0.01527,0.29748,0.34828
2027,pobreza_extrema,0.09624,0.00193,0.09388,0.10014
2027,tasa_desercion,0.34274,0.00437,0.33617,0.34954
2027,prev_enfermedad,0.05291,0.00575,0.04195,0.05976
2027,tasa_delincuencia,0.01246,0.00152,0.01023,0.01500
2027,cobertura_educativa,0.65726,0.00437,0.65046,0.66383
2027,pib_index,1.02088,0.00306,1.01575,1.02696
2027,crecimiento,0.02193,0.00389,0.01562,0.02975
2027,tasa_migracion,0.02692,0.00019,0.02657,0.02723
2027,satisfaccion_media,5.02811,0.03934,4.96007,5.08458
2027,polarizacion,42.39254,0.04944,42.31200,42.49030
2028,edad_media,31.32450,0.02083,31.29390,31.35970
2028,desempleo,0.06470,0.03787,0.01864,0.12143
2028,informalidad,0.55219,0.00253,0.54745,0.55576
2028,gini_ingreso,0.56880,0.01213,0.54205,0.59267
2028,pobreza,0.31994,0.01526,0.29980,0.34795
2028,pobreza_extrema,0.10114,0.00148,0.09914,0.10445
2028,tasa_desercion,0.35778,0.00871,0.34447,0.37062
2028,prev_enfermedad,0.05267,0.00569,0.04181,0.05951
2028,tasa_delincuencia,0.02242,0.00274,0.01826,0.02684
2028,cobertura_educativa,0.64222,0.00871,0.62938,0.65553
2028,pib_index,1.03981,0.00403,1.03558,1.04923
2028,crecimiento,0.01926,0.00276,0.01530,0.02608
2028,tasa_migracion,0.02674,0.00016,0.02649,0.02712
2028,satisfaccion_media,4.31427,0.07673,4.18205,4.42225
2028,polarizacion,32.20461,0.07792,32.08900,32.34730
2029,edad_media,31.81992,0.02262,31.78860,31.86250
2029,desempleo,0.06704,0.03910,0.01995,0.12574
2029,informalidad,0.55136,0.00261,0.54654,0.55466
2029,gini_ingreso,0.57477,0.01196,0.54865,0.59816
2029,pobreza,0.32050,0.01538,0.30137,0.34881
2029,pobreza_extrema,0.10521,0.00152,0.10285,0.10862
2029,tasa_desercion,0.37021,0.01209,0.35170,0.38695
2029,prev_enfermedad,0.05236,0.00572,0.04142,0.05943
2029,tasa_delincuencia,0.03047,0.00375,0.02476,0.03645
2029,cobertura_educativa,0.62979,0.01209,0.61305,0.64830
2029,pib_index,1.06006,0.00478,1.05467,1.06951
2029,crecimiento,0.02038,0.00289,0.01596,0.02548
2029,tasa_migracion,0.02656,0.00017,0.02617,0.02680
2029,satisfaccion_media,3.95739,0.09587,3.80535,4.10577
2029,polarizacion,25.32127,0.09462,25.18670,25.49440
2030,edad_media,32.29583,0.02410,32.25700,32.34590
2030,desempleo,0.06974,0.04059,0.02009,0.13190
2030,informalidad,0.55071,0.00305,0.54521,0.55513
2030,gini_ingreso,0.57994,0.01206,0.55265,0.60313
2030,pobreza,0.32041,0.01509,0.30160,0.34660
2030,pobreza_extrema,0.10838,0.00138,0.10622,0.11170
2030,tasa_desercion,0.38262,0.01437,0.36193,0.40252
2030,prev_enfermedad,0.05190,0.00561,0.04119,0.05869
2030,tasa_delincuencia,0.03693,0.00452,0.02981,0.04403
2030,cobertura_educativa,0.61738,0.01437,0.59748,0.63807
2030,pib_index,1.08050,0.00688,1.07313,1.09364
2030,crecimiento,0.02024,0.00320,0.01329,0.02541
2030,tasa_migracion,0.02642,0.00012,0.02612,0.02660
2030,satisfaccion_media,3.81054,0.10374,3.63995,3.97341
2030,polarizacion,20.74145,0.10079,20.60470,20.92360
